Target_Name,Content_Weigh,Style_Weight,Content_Loss,Style_Loss,Total_Loss
16.jpg,1,1000.0,13.60342788696289,22.95258140563965,22966.185546875
17.jpg,1,1000.0,14.096587181091309,13.471747398376465,13485.84375
18.jpg,1,1000.0,14.407173156738281,9.11447811126709,9128.8857421875
19.jpg,1,1000.0,14.599140167236328,6.571376323699951,6585.9755859375
20.jpg,1,1000.0,13.738382339477539,135.6896209716797,135703.359375
21.jpg,1,1000.0,13.855026245117188,59.48681640625,59500.671875
22.jpg,1,1000.0,13.978694915771484,35.278770446777344,35292.75
23.jpg,1,1000.0,14.072672843933105,22.241130828857422,22255.203125
24.jpg,1,1000.0,14.1674165725708,14.175519943237305,14189.6865234375
25.jpg,8,10000.0,18.94641876220703,534.7816772460938,5347968.5
26.jpg,8,10000.0,20.26957130432129,168.76463317871094,1687808.5
27.jpg,8,10000.0,21.210500717163086,74.6550521850586,746720.1875
28.jpg,8,10000.0,21.778385162353516,46.966583251953125,469840.0625
29.jpg,8,10000.0,22.18143653869629,33.13298797607422,331507.3125
30.jpg,8,10000.0,8.77543830871582,180.66549682617188,1806725.25
31.jpg,8,10000.0,9.596176147460938,118.8637924194336,1188714.625
32.jpg,8,10000.0,10.004390716552734,89.49188232421875,894998.875
33.jpg,8,10000.0,10.26297378540039,71.01939392089844,710276.0625
34.jpg,8,10000.0,10.420612335205078,57.496063232421875,575044.0
35.jpg,8,10000.0,11.963539123535156,155.17971801757812,1551892.875
36.jpg,8,10000.0,12.433494567871094,91.88497161865234,918949.125
37.jpg,8,10000.0,12.720288276672363,69.8176498413086,698278.25
38.jpg,8,10000.0,12.871928215026855,56.612884521484375,566231.875
39.jpg,8,10000.0,12.99368953704834,46.74714279174805,467575.375
40.jpg,8,10000.0,12.860776901245117,53.382266998291016,533925.5625
41.jpg,8,10000.0,13.604292869567871,22.95247459411621,229633.578125
42.jpg,8,10000.0,14.10255241394043,13.469290733337402,134805.734375
43.jpg,8,10000.0,14.418106079101562,9.111135482788086,91226.6953125
44.jpg,8,10000.0,14.600665092468262,6.571115493774414,65827.9609375
45.jpg,8,10000.0,13.73460865020752,135.6853790283203,1356963.625
46.jpg,8,10000.0,13.85667896270752,59.483089447021484,594941.75
47.jpg,8,10000.0,13.970681190490723,35.26769256591797,352788.6875
48.jpg,8,10000.0,14.071876525878906,22.245189666748047,222564.46875
49.jpg,8,10000.0,14.163702964782715,14.183060646057129,141943.921875
50.jpg,5,1000.0,18.910755157470703,534.5844116210938,534679.0
51.jpg,5,1000.0,20.28030776977539,168.6614990234375,168762.90625
52.jpg,5,1000.0,21.201568603515625,74.57789611816406,74683.90625
53.jpg,5,1000.0,21.76850700378418,46.95536804199219,47064.2109375
54.jpg,5,1000.0,22.132246017456055,33.14817810058594,33258.83984375
55.jpg,5,1000.0,8.751230239868164,180.69290161132812,180736.65625
56.jpg,5,1000.0,9.554924964904785,118.83812713623047,118885.8984375
57.jpg,5,1000.0,9.996530532836914,89.46471405029297,89514.6953125
58.jpg,5,1000.0,10.253399848937988,71.01448059082031,71065.75
59.jpg,5,1000.0,10.403361320495605,57.541709899902344,57593.7265625
60.jpg,5,1000.0,11.934822082519531,155.24435424804688,155304.03125
61.jpg,5,1000.0,12.383785247802734,91.90753173828125,91969.453125
62.jpg,5,1000.0,12.651052474975586,69.89507293701172,69958.328125
63.jpg,5,1000.0,12.810111999511719,56.6539306640625,56717.98046875
64.jpg,5,1000.0,12.939851760864258,46.78847885131836,46853.1796875
65.jpg,5,1000.0,12.827232360839844,53.38935470581055,53453.4921875
66.jpg,5,1000.0,13.549651145935059,22.950334548950195,23018.08203125
67.jpg,5,1000.0,14.019899368286133,13.470479011535645,13540.5791015625
68.jpg,5,1000.0,14.29248332977295,9.116987228393555,9188.4501953125
69.jpg,5,1000.0,14.461579322814941,6.575188636779785,6647.49658203125
70.jpg,5,1000.0,13.719610214233398,135.6828155517578,135751.40625
71.jpg,5,1000.0,13.835606575012207,59.481136322021484,59550.31640625
72.jpg,5,1000.0,13.948057174682617,35.264068603515625,35333.8125
73.jpg,5,1000.0,14.035154342651367,22.240930557250977,22311.10546875
